source,t_start,t_end,arp_rate,arp_req_reply_ratio,mac_entropy,unique_src_macs,unique_dst_macs,frame_len_mean,frame_len_std,frame_len_min,frame_len_max,broadcast_ratio,total_packets,label
victima1,1781423017.857754,1781423029.861719,0.08,0.99999950000025,0.6931471805599453,2,2,93.52,15.1924191622006,42,98,0.0,50,normal
victima1,1781423030.6906,1781423042.691331,0.0,0.0,0.6931471805599453,2,2,98.0,0.0,98,98,0.0,50,normal
victima1,1781423042.859101,1781423054.691828,0.04,0.9999990000010001,0.6931471805599453,2,2,95.76,10.973714047668638,42,98,0.0,50,normal
victima1,1781423054.859664,1781423066.692526,0.04,0.9999990000010001,0.6931471805599453,2,2,95.76,10.97371404766864,42,98,0.0,50,normal
victima1,1781423066.860292,1781423078.863152,0.0,0.0,0.6931471805599453,2,2,98.0,0.0,98,98,0.0,50,normal
victima1,1781423079.69295,1781423091.693826,0.0,0.0,0.6931471805599453,2,2,98.0,0.0,98,98,0.0,50,normal
victima1,1781423091.861527,1781423103.694383,0.04,0.9999990000010001,0.6931471805599453,2,2,95.76,10.97371404766864,42,98,0.0,50,normal
victima1,1781423103.862072,1781423115.694928,0.04,0.9999990000010001,0.6931471805599453,2,2,95.76,10.97371404766864,42,98,0.0,50,normal
victima1,1781423115.862577,1781423127.865946,0.0,0.0,0.6931471805599453,2,2,98.0,0.0,98,98,0.0,50,normal
victima1,1781423128.69531,1781423139.865794,0.04,0.9999990000010001,0.6931471805599453,2,2,95.76,10.973714047668638,42,98,0.0,50,normal
victima1,1781423140.695956,1781423152.696861,0.02,1000000.0,0.6923469670899615,2,2,96.88,7.84,42,98,0.0,50,normal
victima1,1781423152.697174,1781423164.697259,0.02,0.0,0.6923469670899615,2,2,96.88,7.839999999999998,42,98,0.0,50,normal
victima1,1781423164.864735,1781423176.867532,0.0,0.0,0.6931471805599453,2,2,98.0,0.0,98,98,0.0,50,normal
victima1,1781423177.697708,1781423188.868279,0.04,0.9999990000010001,0.6931471805599453,2,2,95.76,10.973714047668638,42,98,0.0,50,normal
victima1,1781423189.698066,1781423322.338796,0.24,0.09090908264462885,1.0549201679861442,3,2,84.56,23.91665528455014,42,98,0.0,50,arp_spoof
victima1,1781423324.338918,1781423422.350579,1.0,0.0,0.0,1,1,42.0,0.0,42,42,0.0,50,arp_spoof
victima1,1781423424.350797,1781423499.904324,0.66,0.0,0.8761169442709758,3,2,61.04,26.5276911924125,42,98,0.0,50,arp_spoof
victima1,1781423499.904439,1781423512.151932,0.0,0.0,0.6923469670899615,2,2,98.0,0.0,98,98,0.0,50,normal
victima1,1781423512.154254,1781423523.905458,0.08,0.99999950000025,0.6923469670899615,2,2,93.52,15.1924191622006,42,98,0.0,50,normal
victima1,1781423523.90557,1781423536.153102,0.0,0.0,0.6923469670899615,2,2,98.0,0.0,98,98,0.0,50,normal
victima1,1781423536.155917,1781423548.90684,0.0,0.0,0.6923469670899615,2,2,98.0,0.0,98,98,0.0,50,normal
victima1,1781423548.90695,1781423581.801059,0.04,0.9999990000010001,2.3606718928052106,23,23,77.28,22.566382075999687,42,98,0.0,50,normal
victima1,1781423581.801069,1781423581.807421,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.807434,1781423581.810834,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.810848,1781423581.816395,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.816412,1781423581.819475,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.819493,1781423581.82457,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.82458,1781423581.829843,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.829863,1781423581.832606,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.83262,1781423581.838579,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.838596,1781423581.841646,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.841659,1781423581.847376,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.84739,1781423581.851268,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.851277,1781423581.859152,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.859175,1781423581.863675,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.867653,1781423581.872573,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.872585,1781423581.877887,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.877904,1781423581.880928,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.880941,1781423581.887054,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.887068,1781423581.8911,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.891111,1781423581.896153,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.896167,1781423581.898808,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.898819,1781423581.904629,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.904641,1781423581.910684,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.910703,1781423581.91454,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423581.91455,1781423581.920698,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
