source,t_start,t_end,arp_rate,arp_req_reply_ratio,mac_entropy,unique_src_macs,unique_dst_macs,frame_len_mean,frame_len_std,frame_len_min,frame_len_max,broadcast_ratio,total_packets,label,reconstruction_error,is_anomaly,inferred_threat,severity,impact,frequency,priority_score
victima2,1781423583.374615,1781423583.378711,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood,1.203988,True,mac_flood,1.0,1.0,1.0,1.0
victima2,1781423583.346888,1781423583.355172,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood,1.203988,True,mac_flood,1.0,1.0,1.0,1.0
victima2,1781423584.02022,1781423584.026873,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood,1.203988,True,mac_flood,1.0,1.0,1.0,1.0
victima2,1781423583.458872,1781423583.46563,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood,1.203988,True,mac_flood,1.0,1.0,1.0,1.0
victima2,1781423581.832406,1781423581.838327,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood,1.203988,True,mac_flood,1.0,1.0,1.0,1.0
victima2,1781423582.658389,1781423582.662784,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood,1.203988,True,mac_flood,1.0,1.0,1.0,1.0
victima2,1781423583.280502,1781423583.325255,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood,1.203988,True,mac_flood,1.0,1.0,1.0,1.0
victima2,1781423584.255461,1781423584.262254,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood,1.203988,True,mac_flood,1.0,1.0,1.0,1.0
victima2,1781423582.16828,1781423582.175952,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood,1.203988,True,mac_flood,1.0,1.0,1.0,1.0
victima2,1781423583.831486,1781423583.835304,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood,1.203988,True,mac_flood,1.0,1.0,1.0,1.0
